,1
830,468.46195447444916
831,349.25756376981735
832,477.0081151127815
833,450.93849289417267
834,458.30887991189957
835,568.9640414118767
836,397.7059861421585
837,443.35995221138
838,423.59064823389053
839,463.8782880306244
840,426.34507101774216
841,373.3445585370064
842,473.25166767835617
843,506.85570228099823
844,539.5363373160362
845,541.3622455000877
846,614.0624155402184
847,520.1516570448875
848,448.3660380244255
849,475.5826017856598
850,521.9866051673889
851,441.89747500419617
852,533.3231999874115
853,481.6538892388344
854,497.04598265886307
855,471.6246663928032
856,499.7433491945267
857,469.11424338817596
858,478.69631147384644
859,558.0533044338226
860,492.22445553541183
861,285.20356798171997
862,476.78406524658203
863,342.2681653499603
864,483.2731977701187
865,468.50751131772995
866,473.0185949206352
867,545.0584791898727
868,481.67557603120804
869,368.5185867547989
870,365.6249433159828
871,334.92379623651505
872,503.0189532637596
873,541.7705110311508
874,565.2850089669228
875,439.88027054071426
876,439.11737072467804
877,429.38651907444
878,533.6417512893677
879,433.5140963792801
880,542.8078237771988
881,508.1552456021309
882,483.7875384092331
883,461.680482506752
884,549.6278297305107
885,562.2498131990433
886,443.9182581305504
887,392.20710295438766
888,404.03703808784485
889,651.853875041008
890,459.9554134607315
891,494.68532156944275
892,391.58412051200867
893,290.33619207143784
894,494.8676255941391
895,366.5951155424118
896,458.6053687930107
897,511.4638382792473
898,546.507790863514
899,570.7101973295212
900,397.23656994104385
901,322.5207716226578
902,370.62555706501007
903,288.91214072704315
904,548.2580624818802
905,363.9986234307289
906,618.8472285270691
907,380.96443247795105
908,440.8397766947746
909,383.41070622205734
910,500.3455572128296
911,405.1342980861664
912,540.3027254343033
913,394.7768523693085
914,592.5005812644958
915,508.8311598300934
916,502.30247724056244
917,439.62161552906036
918,383.24997705221176
919,654.6357647180557
920,344.7448727488518
921,341.94932359457016
922,410.44696801900864
923,357.1094000339508
924,525.1645325422287
925,284.94459587335587
926,520.3200774788857
927,449.06801038980484
928,353.4707263112068
929,614.1731369495392
930,531.6579495668411
931,459.6534810066223
932,455.98418486118317
933,450.0306630730629
934,512.8446276783943
935,503.8376290202141
936,473.00046491622925
937,406.5606826543808
938,460.5072805285454
939,469.3390471935272
940,516.3080516457558
941,451.6680072546005
942,420.3854654431343
943,437.7834021449089
944,596.0827728509903
945,456.2135018706322
946,582.9751946926117
947,494.7780747413635
948,503.9920119047165
949,306.32047671079636
950,555.2234078645706
951,507.336241543293
952,626.6790642738342
953,384.9306415319443
954,462.7455024123192
955,389.9712010025978
956,538.6663430929184
957,364.07272267341614
958,511.31332325935364
959,490.00223022699356
960,347.1337463259697
961,430.5119678378105
962,455.53721809387207
963,517.9915727972984
964,377.46773624420166
965,481.72804594039917
966,552.3188341259956
967,351.5363684296608
968,516.3551634550095
969,379.38856011629105
970,372.9559219479561
971,448.0569893717766
972,342.68852549791336
973,472.1881082057953
974,495.53300535678864
975,452.684031188488
976,387.0927546620369
977,436.3802274465561
978,426.1913831830025
979,518.5205028057098
980,427.1212953925133
981,433.6428982615471
982,451.1402872800827
983,333.5735813379288
984,347.4129239320755
985,426.2422531247139
986,557.7816511392593
987,391.1780255436897
988,501.11130648851395
989,414.6186954379082
990,416.9434543251991
991,495.00815641880035
992,386.75057196617126
993,394.6371833086014
994,522.7373889684677
995,376.08761364221573
996,521.8660180568695
997,456.01462864875793
998,358.5592453479767
999,352.3060203194618
1000,488.58802914619446
1001,657.377209186554
1002,363.46891820430756
1003,429.7865124940872
1004,608.3374199271202
1005,472.474228143692
1006,548.9207926988602
1007,295.9658972620964
1008,485.47561675310135
1009,319.13321125507355
1010,443.7220346927643
1011,348.1474497318268
1012,457.09352123737335
1013,342.98330837488174
1014,439.3941772580147
1015,376.6137291789055
1016,561.9638829231262
1017,524.0014081001282
1018,431.38288044929504
1019,412.36048686504364
1020,467.4879641532898
1021,376.72063171863556
1022,501.10778295993805
1023,489.83998638391495
1024,539.0377120375633
1025,484.78445690870285
1026,439.239235162735
1027,435.89562660455704
1028,224.04593306779861
1029,357.9659574627876
1030,293.7143616080284
1031,522.0390406847
1032,426.64572340250015
1033,336.17076587677
1034,489.94460970163345
1035,412.54404950141907
1036,292.647996366024
1037,365.9649233818054
1038,414.46388804912567
1039,452.46219992637634
1040,467.8721398115158
1041,550.4367806315422
1042,460.5781401395798
1043,472.55317240953445
1044,370.2366067171097
1045,567.876355111599
1046,509.1192719936371
1047,381.7326122522354
1048,542.0085756778717
1049,376.6370173692703
1050,429.97027856111526
1051,455.1319450736046
1052,407.33003240823746
1053,428.5502967238426
1054,583.9226731061935
1055,399.6274675130844
1056,417.4254672527313
1057,302.5438778400421
1058,390.05067080259323
1059,490.3377789258957
1060,374.5272639989853
1061,521.9332416057587
1062,534.2747477889061
1063,561.1402100920677
1064,416.0186787843704
1065,478.037357211113
1066,467.29101210832596
1067,426.7717495560646
1068,470.659893989563
1069,510.3617732524872
1070,416.16716265678406
1071,568.3208748102188
1072,396.1871876716614
1073,532.8174614906311
1074,366.7049061655998
1075,400.4622909426689
1076,572.9534344673157
1077,435.42807126045227
1078,438.1333877444267
1079,495.9411236047745
1080,480.524555683136
1081,558.6127128601074
1082,445.16732770204544
1083,584.7748324871063
1084,459.4944788813591
1085,302.18071734905243
1086,502.12086552381516
1087,464.2039097547531
1088,514.8890686035156
1089,541.743609547615
1090,444.1944233775139
1091,397.7286661863327
1092,463.6287389397621
1093,333.2929337620735
1094,469.4987802505493
1095,459.4408030509949
1096,404.735255420208
1097,449.6773400902748
1098,422.62779074907303
1099,599.4892463684082
1100,460.9290160536766
1101,547.2626293301582
1102,516.5375706553459
1103,441.3456878066063
1104,458.2580377459526
1105,290.4181869029999
1106,430.43003821372986
1107,395.096284866333
1108,584.2838481068611
1109,458.180670440197
1110,391.5706620812416
1111,539.7315635681152
1112,595.6192391514778
1113,634.6927993893623
